
IP - 185.136.156.195 CITY -  TIME - 00:18:26 

IP - 13.57.233.99 CITY - San Jose TIME - 03:19:24 

IP - 95.211.168.31 CITY - Amsterdam TIME - 04:13:20 

IP - 95.211.168.31 CITY - Amsterdam TIME - 04:13:23 

IP - 95.211.246.234 CITY - Amsterdam TIME - 04:16:38 

IP - 95.211.246.234 CITY - Amsterdam TIME - 04:16:39 

IP - 37.9.118.24 CITY - Moscow TIME - 09:27:44 

IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 10:35:53 link -46.63.112.17 

IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 10:35:54 link -46.63.112.17 

IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 10:35:57 link -46.63.112.17 

IP - 77.111.244.228 CITY - Choisy-le-Roi TIME - 10:39:13 link - 

IP - 77.111.244.228 CITY - Choisy-le-Roi TIME - 10:39:15 link - 

IP - 77.111.244.228 CITY - Choisy-le-Roi TIME - 10:39:16 link -https://livenews.com.ua/ 

IP - 77.111.244.228 CITY - Choisy-le-Roi TIME - 10:43:55 link -https://livenews.com.ua/ IN- /news/189670 

IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 10:48:54 from -https://livenews.com.ua/ to - /news/189623 

IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 11:20:58 FROM -https://livenews.com.ua/news/189623 TO - / 

IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 11:21:01 FROM -https://livenews.com.ua/ TO - / 

IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 11:21:08 FROM -https://livenews.com.ua/ TO - /news/189685 

IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 11:21:29 FROM -https://livenews.com.ua/ TO - /news/189710 

IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 11:21:37 FROM -https://livenews.com.ua/news/189710 TO - /news/189710 

IP - 77.111.244.145 CITY - Choisy-le-Roi TIME - 11:44:55 FROM - TO - / 

IP - 77.111.244.145 CITY - Choisy-le-Roi TIME - 11:44:57 FROM -https://livenews.com.ua/ TO - / 

IP - 77.111.244.145 CITY - Choisy-le-Roi TIME - 11:45:42 FROM -https://livenews.com.ua/ TO - /news/189642 

IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:24:19 FROM - TO - /
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:25:23 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:25:32 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:25:50 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:26:14 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:26:56 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:27:04 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:27:33 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:28:48 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:29:24 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:43:27 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:44:02 FROM - TO - /test
IP - 46.63.112.17 CITY - Khmel'nyts'kyy TIME - 12:44:24 FROM - TO - /test
